Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Strain [minNm],Power (W),Temperature Difference (K)
2.0,300.6,310.4,1510.0,42.8,124.0,5307.2,6767.828333873371,9.799999999999955
1.0,295.5,306.1,1822.0,24.3,164.0,3985.2000000000003,4636.425270020888,10.600000000000023
0.0,301.1,310.1,1417.0,46.9,35.0,1641.5,6959.392181913765,9.0
0.0,301.8,310.8,1456.0,46.6,35.0,1631.0,7105.193496966868,9.0
1.0,301.9,311.1,1417.0,52.5,171.0,8977.5,7790.36438273929,9.200000000000045
1.0,297.5,308.8,1455.0,46.1,147.0,6776.7,7024.129934528739,11.300000000000011
0.0,298.0,307.7,1492.0,38.7,202.0,7817.400000000001,6046.560548511203,9.699999999999989
0.0,298.1,308.7,1568.0,32.9,10.0,329.0,5402.198951308912,10.599999999999966
0.0,301.5,310.6,1522.0,36.6,202.0,7393.200000000001,5833.434902891672,9.100000000000023
0.0,301.9,310.9,1309.0,48.0,124.0,5952.0,6579.751653678463,9.0
0.0,297.6,308.5,1452.0,42.6,116.0,4941.6,6477.461396877579,10.899999999999977
0.0,302.4,311.8,1465.0,40.2,143.0,5748.6,6167.260538262124,9.400000000000034
0.0,300.3,311.5,1403.0,60.1,58.0,3485.8,8830.001167616248,11.199999999999989
0.0,297.3,308.7,1549.0,36.1,218.0,7869.8,5855.813514560743,11.399999999999977
0.0,303.1,312.8,2329.0,15.1,113.0,1706.3,3682.7738760726834,9.699999999999989
0.0,300.9,310.3,1321.0,48.8,150.0,7320.0,6750.738069837843,9.400000000000034
0.0,302.1,311.2,1492.0,45.0,162.0,7290.0,7030.884358733957,9.099999999999966
0.0,302.4,311.9,1867.0,25.9,121.0,3133.8999999999996,5063.755174737684,9.5
0.0,296.8,308.0,1584.0,40.4,227.0,9170.8,6701.3941212254595,11.199999999999989
0.0,296.9,307.8,1571.0,35.0,102.0,3570.0,5758.015735254492,10.900000000000034
0.0,298.8,309.7,1751.0,29.6,160.0,4736.0,5427.583019949919,10.899999999999977
0.0,298.4,309.1,1467.0,42.5,139.0,5907.5,6529.014932322987,10.700000000000045
1.0,299.1,308.9,1325.0,48.4,220.0,10648.0,6715.677895823781,9.799999999999955
1.0,299.4,308.7,1487.0,52.6,205.0,10783.0,8190.781310390332,9.300000000000011
0.0,297.9,308.8,1613.0,31.4,57.0,1789.8,5303.8671012515515,10.900000000000034
0.0,300.6,309.7,1639.0,30.4,121.0,3678.3999999999996,5217.72463069012,9.099999999999966
0.0,299.7,311.2,1352.0,52.1,176.0,9169.6,7376.375774824739,11.5
1.0,297.3,308.5,1710.0,27.7,138.0,3822.6,4960.260640752925,11.199999999999989
0.0,300.3,311.7,1571.0,31.2,123.0,3837.6,5132.859741141147,11.399999999999977
1.0,297.4,308.5,1600.0,42.1,190.0,7999.0,7053.922704860282,11.100000000000023
1.0,301.5,310.6,1403.0,47.4,34.0,1611.6,6964.094098918637,9.100000000000023
1.0,304.2,313.5,1437.0,47.2,102.0,4814.400000000001,7102.763998648093,9.300000000000011
0.0,301.7,309.9,1524.0,46.6,104.0,4846.400000000001,7437.029456990046,8.199999999999989
0.0,298.7,309.9,1464.0,38.0,74.0,2812.0,5825.769416816912,11.199999999999989
0.0,301.2,310.7,1568.0,38.3,49.0,1876.6999999999998,6288.882061858095,9.5
0.0,300.7,311.3,1522.0,35.2,48.0,1689.6000000000001,5610.298048682701,10.600000000000023
0.0,301.4,310.5,1647.0,33.3,85.0,2830.4999999999995,5743.365441513251,9.100000000000023
0.0,302.5,311.9,1481.0,42.9,52.0,2230.7999999999997,6653.359169552072,9.399999999999977
0.0,301.0,312.2,1776.0,28.8,138.0,3974.4,5356.289810664454,11.199999999999989
2.0,303.5,312.0,1397.0,52.9,80.0,4232.0,7738.926039024514,8.5
0.0,303.2,311.4,1514.0,41.2,230.0,9476.0,6532.083221147995,8.199999999999989
0.0,301.5,310.9,1451.0,40.6,0.0,0.0,6169.1036059522285,9.399999999999977
0.0,299.5,310.0,1481.0,43.1,90.0,3879.0,6684.377161018515,10.5
2.0,302.1,310.9,1452.0,42.5,198.0,8415.0,6462.256088434205,8.799999999999955
0.0,300.6,309.5,1471.0,49.6,29.0,1438.4,7640.520885138569,8.899999999999977
0.0,301.4,310.4,1639.0,28.9,94.0,2716.6,4960.2711127284365,9.0
0.0,299.1,310.6,1796.0,26.0,90.0,2340.0,4889.993685067632,11.5
0.0,299.0,310.1,1362.0,59.5,46.0,2737.0,8486.384235142108,11.100000000000023
0.0,300.7,312.1,1395.0,41.9,157.0,6578.3,6120.922046621674,11.400000000000034
1.0,302.3,310.8,1762.0,27.8,127.0,3530.6,5129.550596879367,8.5
1.0,298.0,307.6,1581.0,43.4,113.0,4904.2,7185.3878854375025,9.600000000000023
2.0,303.3,311.2,1607.0,31.7,34.0,1077.8,5334.623293330196,7.899999999999977
0.0,298.7,309.9,1372.0,54.7,44.0,2406.8,7859.050070122275,11.199999999999989
1.0,298.3,309.6,1469.0,54.8,191.0,10466.8,8430.065950838754,11.300000000000011
0.0,300.4,310.1,1544.0,41.9,184.0,7709.599999999999,6774.697949809221,9.700000000000045
1.0,298.6,310.0,1512.0,37.5,27.0,1012.5,5937.6101152847095,11.399999999999977
0.0,298.9,309.6,1365.0,50.9,183.0,9314.699999999999,7275.771506081281,10.700000000000045
1.0,296.1,307.1,1433.0,38.5,14.0,539.0,5777.4412498291895,11.0
0.0,302.0,310.5,1635.0,39.8,99.0,3940.2,6814.4286249016195,8.5
0.0,302.2,310.6,1632.0,30.5,122.0,3721.0,5212.530530836185,8.400000000000034
0.0,298.4,309.5,1376.0,50.4,202.0,10180.8,7262.356905450452,11.100000000000023
0.0,300.7,311.2,1399.0,47.9,80.0,3832.0,7017.490702054152,10.5
0.0,303.9,313.1,1639.0,29.0,95.0,2755.0,4977.434680592548,9.200000000000045
1.0,298.0,309.4,1276.0,65.9,50.0,3295.0000000000005,8805.716656404,11.399999999999977
0.0,300.9,310.4,1427.0,47.0,65.0,3055.0,7023.4492561204615,9.5
0.0,302.9,312.3,1515.0,40.8,183.0,7466.4,6472.937503456409,9.400000000000034
0.0,301.3,310.0,1438.0,40.9,7.0,286.3,6159.008621558693,8.699999999999989
0.0,297.0,307.8,1316.0,61.2,200.0,12240.0,8434.045301533302,10.800000000000011
0.0,297.2,307.9,1309.0,49.6,167.0,8283.2,6799.076708801078,10.699999999999989
1.0,299.6,310.1,1357.0,48.7,96.0,4675.200000000001,6920.499264862325,10.5
0.0,298.1,308.7,1683.0,29.1,161.0,4685.1,5128.681422911874,10.599999999999966
0.0,299.8,309.6,1526.0,41.7,85.0,3544.5000000000005,6663.757841235454,9.800000000000011
2.0,300.0,309.5,1781.0,24.9,70.0,1743.0,4643.996508316039,9.5
1.0,303.6,312.3,1630.0,32.4,223.0,7225.2,5530.459707379472,8.699999999999989
0.0,300.6,309.5,1437.0,40.0,55.0,2200.0,6019.291524278044,8.899999999999977
0.0,300.4,309.8,1314.0,63.1,146.0,9212.6,8682.6709441384,9.400000000000034
1.0,300.5,310.0,1406.0,50.2,119.0,5973.8,7391.24598005173,9.5
0.0,299.7,309.2,1422.0,40.4,140.0,5656.0,6016.02426791831,9.5
1.0,301.7,309.9,1434.0,47.9,189.0,9053.1,7193.053371512261,8.199999999999989
0.0,298.3,307.9,1502.0,42.0,103.0,4326.0,6606.1410319686165,9.599999999999966
1.0,300.3,311.8,1483.0,45.1,181.0,8163.1,7004.0027975947405,11.5
0.0,301.8,311.3,1551.0,35.8,61.0,2183.7999999999997,5814.648178823204,9.5
2.0,302.3,311.5,1526.0,38.2,47.0,1795.4,6104.449629141352,9.199999999999989
2.0,300.6,310.6,1419.0,39.6,3.0,118.80000000000001,5884.45436758597,10.0
0.0,301.5,310.1,1430.0,46.5,35.0,1627.5,6963.340116681777,8.600000000000023
0.0,300.0,311.5,1666.0,32.0,128.0,4096.0,5582.819584939302,11.5
0.0,299.4,309.0,1800.0,24.3,128.0,3110.4,4580.442088933919,9.600000000000023
0.0,301.9,310.8,1567.0,39.3,9.0,353.7,6448.96715150952,8.900000000000034
0.0,301.2,310.8,1711.0,28.9,38.0,1098.2,5178.171979181424,9.600000000000023
0.0,300.8,310.0,1468.0,52.7,178.0,9380.6,8101.497247175312,9.199999999999989
0.0,298.0,307.6,1385.0,45.0,158.0,7110.0,6526.658737832795,9.600000000000023
1.0,298.9,308.6,1524.0,40.4,131.0,5292.4,6447.553434815404,9.700000000000045
0.0,303.3,311.6,1484.0,44.6,223.0,9945.800000000001,6931.02360025185,8.300000000000011
1.0,298.8,310.2,1527.0,31.2,102.0,3182.4,4989.100461312879,11.399999999999977
0.0,299.7,311.1,1650.0,32.4,60.0,1944.0,5598.318108697012,11.400000000000034
0.0,298.2,307.7,1688.0,32.4,91.0,2948.4,5727.249071200336,9.5
0.0,298.6,309.3,1449.0,46.5,26.0,1209.0,7055.860020329997,10.699999999999989
0.0,296.2,307.2,1515.0,36.5,38.0,1387.0,5790.740658729386,11.0
1.0,297.6,308.6,1390.0,53.4,175.0,9345.0,7772.928543511866,11.0
1.0,297.6,308.6,1444.0,48.2,46.0,2217.2000000000003,7288.578732132416,11.0
0.0,298.4,308.9,1706.0,29.5,107.0,3156.5,5270.231115907117,10.5
1.0,299.9,309.5,1412.0,57.9,59.0,3416.1,8561.342635856761,9.600000000000023
0.0,299.1,310.5,1389.0,61.4,64.0,3929.6,8930.982427478135,11.399999999999977
0.0,298.0,307.8,1716.0,26.6,9.0,239.4,4779.9960542899435,9.800000000000011
1.0,298.1,308.0,1924.0,20.8,29.0,603.2,4190.800824084688,9.899999999999977
0.0,301.4,310.7,1706.0,27.9,170.0,4743.0,4984.388072332494,9.300000000000011
0.0,300.5,311.9,1887.0,21.7,56.0,1215.2,4288.054060664316,11.399999999999977
1.0,300.0,309.3,2293.0,16.3,170.0,2771.0,3913.9950953768916,9.300000000000011
0.0,301.0,311.6,1461.0,40.6,154.0,6252.400000000001,6211.61982653081,10.600000000000023
0.0,298.6,309.6,1390.0,50.3,196.0,9858.8,7321.691118701253,11.0
1.0,300.7,312.3,1430.0,47.2,131.0,6183.200000000001,7068.164591556556,11.600000000000023
1.0,297.7,308.9,1327.0,63.7,21.0,1337.7,8851.95042828933,11.199999999999989
0.0,298.9,308.9,1453.0,40.8,11.0,448.79999999999995,6208.038410905718,10.0
2.0,300.5,309.3,1471.0,45.2,223.0,10079.6,6962.732742102083,8.800000000000011
0.0,303.9,312.7,1339.0,62.3,156.0,9718.8,8735.690556155481,8.800000000000011
0.0,303.6,312.4,1388.0,41.9,221.0,9259.9,6090.207742445077,8.799999999999955
0.0,298.4,308.9,1628.0,34.9,93.0,3245.7,5949.883270584733,10.5
0.0,302.3,311.5,1448.0,49.6,28.0,1388.8,7521.056588498061,9.199999999999989
0.0,303.8,313.0,1499.0,42.3,38.0,1607.3999999999999,6640.0388167008505,9.199999999999989
1.0,300.5,311.3,1468.0,41.1,34.0,1397.4,6318.245481193649,10.800000000000011
0.0,299.5,309.1,1852.0,22.6,77.0,1740.2,4383.066294484383,9.600000000000023
1.0,300.1,309.2,1418.0,39.8,221.0,8795.8,5910.005987835166,9.099999999999966
0.0,301.5,310.9,1318.0,50.6,11.0,556.6,6983.844244734207,9.399999999999977
0.0,300.7,310.4,1543.0,47.3,203.0,9601.9,7642.856135677736,9.699999999999989
0.0,300.4,311.5,1704.0,29.7,103.0,3059.1,5299.741142899837,11.100000000000023
0.0,297.9,308.8,1681.0,31.7,94.0,2979.7999999999997,5580.274894889893,10.900000000000034
0.0,297.4,308.3,1493.0,41.2,43.0,1771.6000000000001,6441.479689018464,10.900000000000034
0.0,303.6,312.0,1827.0,23.3,103.0,2399.9,4457.825727664309,8.399999999999977
0.0,297.7,309.7,1591.0,37.7,196.0,7389.200000000001,6281.164215905777,12.0
0.0,298.4,307.9,1743.0,27.3,134.0,3658.2000000000003,4982.974355638378,9.5
0.0,300.9,310.7,1658.0,28.5,18.0,513.0,4948.322588669283,9.800000000000011
0.0,302.0,310.5,1370.0,44.4,85.0,3774.0,6369.893264418665,8.5
1.0,298.7,309.7,1629.0,27.9,136.0,3794.3999999999996,4759.418622408929,11.0
0.0,298.1,308.6,1354.0,53.9,207.0,11157.3,7642.510560485841,10.5
1.0,303.9,313.2,1350.0,47.2,2.0,94.4,6672.742796224721,9.300000000000011
1.0,298.6,309.5,1684.0,27.8,44.0,1223.2,4902.476279877897,10.899999999999977
0.0,297.3,308.2,1446.0,53.5,7.0,374.5,8101.224975812,10.899999999999977
2.0,299.2,308.7,1448.0,51.4,173.0,8892.199999999999,7793.998158241941,9.5
0.0,299.8,309.5,1545.0,32.2,18.0,579.6,5209.703097447955,9.699999999999989
0.0,300.4,311.6,1332.0,54.6,111.0,6060.6,7615.97457453852,11.200000000000045
0.0,301.9,309.6,1446.0,43.2,225.0,9720.0,6541.549887010811,7.7000000000000455
1.0,298.2,307.8,1566.0,33.8,100.0,3379.9999999999995,5542.9004142876865,9.600000000000023
0.0,300.7,310.6,1654.0,34.2,89.0,3043.8,5923.661443902771,9.900000000000034
1.0,300.4,310.5,1500.0,43.0,9.0,387.0,6754.424205218055,10.100000000000023
0.0,299.3,309.0,1415.0,47.6,156.0,7425.6,7053.294386329564,9.699999999999989
0.0,298.9,309.5,1645.0,31.1,169.0,5255.900000000001,5357.410312044234,10.600000000000023
0.0,297.1,308.1,1633.0,33.3,192.0,6393.599999999999,5694.545091676466,11.0
0.0,303.3,311.6,1301.0,45.1,219.0,9876.9,6144.442103621549,8.300000000000011
0.0,299.4,308.7,1681.0,30.8,171.0,5266.8,5421.844377369361,9.300000000000011
0.0,300.4,309.8,1395.0,48.1,201.0,9668.1,7026.643208651611,9.400000000000034
0.0,299.6,309.5,1453.0,41.4,168.0,6955.2,6299.333093419037,9.899999999999977
1.0,298.3,307.9,1485.0,42.0,117.0,4914.0,6531.371126813179,9.599999999999966
0.0,298.0,307.7,1479.0,42.5,47.0,1997.5,6582.422007434014,9.699999999999989
1.0,300.3,309.8,1617.0,40.8,158.0,6446.4,6908.739236362385,9.5
0.0,299.4,309.1,1670.0,35.9,68.0,2441.2,6278.263478688963,9.700000000000045
0.0,297.9,307.6,1977.0,20.2,182.0,3676.4,4182.025308605661,9.700000000000045
0.0,298.9,310.0,1470.0,45.9,109.0,5003.099999999999,7065.756037188804,11.100000000000023
0.0,302.2,310.6,1386.0,50.0,132.0,6600.0,7257.079029792422,8.400000000000034
1.0,296.4,307.2,2071.0,19.4,183.0,3550.2,4207.367489344618,10.800000000000011
1.0,302.3,310.8,1611.0,31.8,169.0,5374.2,5364.772110829146,8.5
1.0,297.4,308.5,1566.0,31.4,76.0,2386.4,5149.321686645957,11.100000000000023
0.0,297.6,308.3,1617.0,31.7,39.0,1236.3,5367.819455703128,10.699999999999989
1.0,300.6,310.7,1457.0,36.7,193.0,7083.1,5599.564273782935,10.099999999999966
2.0,299.3,310.0,1373.0,44.8,221.0,9900.8,6441.35402531232,10.699999999999989
0.0,300.9,310.6,1598.0,35.4,186.0,6584.4,5923.9127713150565,9.700000000000045
0.0,299.6,310.9,1448.0,46.3,196.0,9074.8,7020.663710634278,11.299999999999955
0.0,300.9,310.9,1615.0,32.0,183.0,5856.0,5411.916944584017,10.0
2.0,297.7,309.6,1697.0,32.2,210.0,6762.000000000001,5722.243466905617,11.900000000000034
0.0,303.3,312.2,1506.0,40.0,50.0,2000.0,6308.318048408304,8.899999999999977
0.0,300.7,309.6,1733.0,24.8,85.0,2108.0,4500.687523434785,8.900000000000034
0.0,300.3,310.2,1492.0,52.3,2.0,104.6,8171.450043595242,9.899999999999977
0.0,304.2,313.4,1568.0,37.6,25.0,940.0,6173.941658638757,9.199999999999989
0.0,300.5,310.3,1435.0,43.3,31.0,1342.3,6506.814344237619,9.800000000000011
1.0,300.7,309.5,1838.0,24.9,66.0,1643.3999999999999,4792.625256757372,8.800000000000011
0.0,298.9,309.0,1410.0,65.7,191.0,12548.7,9700.923955019922,10.100000000000023
1.0,300.6,310.5,2156.0,18.0,16.0,288.0,4063.9642566837565,9.899999999999977
1.0,298.0,308.9,1339.0,51.4,68.0,3495.2,7207.295258208535,10.899999999999977
1.0,300.7,309.5,1733.0,26.7,108.0,2883.6,4845.498261117289,8.800000000000011
1.0,297.9,307.8,1303.0,59.3,75.0,4447.5,8091.475566610358,9.900000000000034
2.0,301.0,311.0,1640.0,37.6,118.0,4436.8,6457.4389796987,10.0
1.0,297.6,308.8,1416.0,45.9,101.0,4635.9,6806.197652149215,11.199999999999989
0.0,303.7,313.1,1406.0,48.6,183.0,8893.800000000001,7155.668418934544,9.400000000000034
1.0,303.4,311.7,1353.0,44.1,192.0,8467.2,6248.345044651275,8.300000000000011
0.0,302.5,310.2,1716.0,29.9,156.0,4664.4,5373.003083581551,7.699999999999989
0.0,298.4,310.1,1533.0,35.2,92.0,3238.4,5650.845537865033,11.700000000000045
0.0,298.5,308.2,1451.0,47.5,18.0,855.0,7217.547322234751,9.699999999999989
0.0,302.6,312.1,1288.0,68.5,0.0,0.0,9239.214554697342,9.5
1.0,297.3,308.4,1449.0,44.4,34.0,1509.6,6737.208277476383,11.099999999999966
0.0,302.0,310.9,1446.0,44.0,64.0,2816.0,6662.689699733233,8.899999999999977
0.0,300.6,309.8,1688.0,28.6,135.0,3861.0,5055.534673960791,9.199999999999989
0.0,303.9,313.1,1491.0,37.2,195.0,7254.000000000001,5808.302161662954,9.200000000000045
0.0,297.4,309.1,1380.0,41.1,152.0,6247.2,5939.495070876863,11.700000000000045
