Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
2,300.6,310.4,1510,42.8,124,5307.2,6767.828333873371,9.799999999999955
1,295.5,306.1,1822,24.3,164,3985.2000000000003,4636.425270020888,10.600000000000023
0,301.1,310.1,1417,46.9,35,1641.5,6959.392181913765,9.0
0,301.8,310.8,1456,46.6,35,1631.0,7105.193496966868,9.0
1,301.9,311.1,1417,52.5,171,8977.5,7790.36438273929,9.200000000000045
1,297.5,308.8,1455,46.1,147,6776.7,7024.129934528739,11.300000000000011
0,298.0,307.7,1492,38.7,202,7817.400000000001,6046.560548511203,9.699999999999989
0,298.1,308.7,1568,32.9,10,329.0,5402.198951308912,10.599999999999966
0,301.5,310.6,1522,36.6,202,7393.200000000001,5833.434902891672,9.100000000000023
0,301.9,310.9,1309,48.0,124,5952.0,6579.751653678463,9.0
0,297.6,308.5,1452,42.6,116,4941.6,6477.461396877579,10.899999999999977
0,302.4,311.8,1465,40.2,143,5748.6,6167.260538262124,9.400000000000034
0,300.3,311.5,1403,60.1,58,3485.8,8830.001167616248,11.199999999999989
0,297.3,308.7,1549,36.1,218,7869.8,5855.813514560743,11.399999999999977
0,303.1,312.8,2329,15.1,113,1706.3,3682.7738760726834,9.699999999999989
0,300.9,310.3,1321,48.8,150,7320.0,6750.738069837843,9.400000000000034
0,302.1,311.2,1492,45.0,162,7290.0,7030.884358733957,9.099999999999966
0,302.4,311.9,1867,25.9,121,3133.8999999999996,5063.755174737684,9.5
0,296.8,308.0,1584,40.4,227,9170.8,6701.3941212254595,11.199999999999989
0,296.9,307.8,1571,35.0,102,3570.0,5758.015735254492,10.900000000000034
0,298.8,309.7,1751,29.6,160,4736.0,5427.583019949919,10.899999999999977
0,298.4,309.1,1467,42.5,139,5907.5,6529.014932322987,10.700000000000045
1,299.1,308.9,1325,48.4,220,10648.0,6715.677895823781,9.799999999999955
1,299.4,308.7,1487,52.6,205,10783.0,8190.781310390332,9.300000000000011
0,297.9,308.8,1613,31.4,57,1789.8,5303.8671012515515,10.900000000000034
0,300.6,309.7,1639,30.4,121,3678.3999999999996,5217.72463069012,9.099999999999966
0,299.7,311.2,1352,52.1,176,9169.6,7376.375774824739,11.5
1,297.3,308.5,1710,27.7,138,3822.6,4960.260640752925,11.199999999999989
0,300.3,311.7,1571,31.2,123,3837.6,5132.859741141147,11.399999999999977
1,297.4,308.5,1600,42.1,190,7999.0,7053.922704860282,11.100000000000023
