Type,Rotational speed _rpm_,Tool wear _min_,Strain _minNm_,Power _W_,Temperature Difference _K_
2,1510,124,5307.2,6767.828333873371,9.799999999999955
1,1822,164,3985.2000000000003,4636.425270020888,10.600000000000023
0,1417,35,1641.5,6959.392181913765,9.0
0,1456,35,1631.0,7105.193496966868,9.0
1,1417,171,8977.5,7790.36438273929,9.200000000000045
1,1455,147,6776.7,7024.129934528739,11.300000000000011
0,1492,202,7817.400000000001,6046.560548511203,9.699999999999989
0,1568,10,329.0,5402.198951308912,10.599999999999966
0,1522,202,7393.200000000001,5833.434902891672,9.100000000000023
0,1309,124,5952.0,6579.751653678463,9.0
0,1452,116,4941.6,6477.461396877579,10.899999999999977
0,1465,143,5748.6,6167.260538262124,9.400000000000034
0,1403,58,3485.8,8830.001167616248,11.199999999999989
0,1549,218,7869.8,5855.813514560743,11.399999999999977
0,2329,113,1706.3,3682.7738760726834,9.699999999999989
0,1321,150,7320.0,6750.738069837843,9.400000000000034
0,1492,162,7290.0,7030.884358733957,9.099999999999966
0,1867,121,3133.8999999999996,5063.755174737684,9.5
0,1584,227,9170.8,6701.3941212254595,11.199999999999989
0,1571,102,3570.0,5758.015735254492,10.900000000000034
0,1751,160,4736.0,5427.583019949919,10.899999999999977
0,1467,139,5907.5,6529.014932322987,10.700000000000045
1,1325,220,10648.0,6715.677895823781,9.799999999999955
1,1487,205,10783.0,8190.781310390332,9.300000000000011
0,1613,57,1789.8,5303.8671012515515,10.900000000000034
0,1639,121,3678.3999999999996,5217.72463069012,9.099999999999966
0,1352,176,9169.6,7376.375774824739,11.5
1,1710,138,3822.6,4960.260640752925,11.199999999999989
0,1571,123,3837.6,5132.859741141147,11.399999999999977
1,1600,190,7999.0,7053.922704860282,11.100000000000023
1,1403,34,1611.6,6964.094098918637,9.100000000000023
1,1437,102,4814.400000000001,7102.763998648093,9.300000000000011
0,1524,104,4846.400000000001,7437.029456990046,8.199999999999989
0,1464,74,2812.0,5825.769416816912,11.199999999999989
0,1568,49,1876.6999999999998,6288.882061858095,9.5
0,1522,48,1689.6000000000001,5610.298048682701,10.600000000000023
0,1647,85,2830.4999999999995,5743.365441513251,9.100000000000023
0,1481,52,2230.7999999999997,6653.359169552072,9.399999999999977
0,1776,138,3974.4,5356.289810664454,11.199999999999989
2,1397,80,4232.0,7738.926039024514,8.5
0,1514,230,9476.0,6532.083221147995,8.199999999999989
0,1451,0,0.0,6169.1036059522285,9.399999999999977
0,1481,90,3879.0,6684.377161018515,10.5
2,1452,198,8415.0,6462.256088434205,8.799999999999955
0,1471,29,1438.4,7640.520885138569,8.899999999999977
0,1639,94,2716.6,4960.2711127284365,9.0
0,1796,90,2340.0,4889.993685067632,11.5
0,1362,46,2737.0,8486.384235142108,11.100000000000023
0,1395,157,6578.3,6120.922046621674,11.400000000000034
1,1762,127,3530.6,5129.550596879367,8.5
1,1581,113,4904.2,7185.3878854375025,9.600000000000023
2,1607,34,1077.8,5334.623293330196,7.899999999999977
0,1372,44,2406.8,7859.050070122275,11.199999999999989
1,1469,191,10466.8,8430.065950838754,11.300000000000011
0,1544,184,7709.599999999999,6774.697949809221,9.700000000000045
1,1512,27,1012.5,5937.6101152847095,11.399999999999977
0,1365,183,9314.699999999999,7275.771506081281,10.700000000000045
1,1433,14,539.0,5777.4412498291895,11.0
0,1635,99,3940.2,6814.4286249016195,8.5
0,1632,122,3721.0,5212.530530836185,8.400000000000034
0,1376,202,10180.8,7262.356905450452,11.100000000000023
0,1399,80,3832.0,7017.490702054152,10.5
0,1639,95,2755.0,4977.434680592548,9.200000000000045
