Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type Num,Strain [minNm]
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1,0.0
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,138.89999999999998
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,247.0
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,276.5
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,360.0
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1,460.9
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,593.6
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,643.2
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1,514.8000000000001
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,1,588.0
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2,573.5999999999999
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2,1284.6999999999998
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1,1737.4
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,1,1110.0
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,0,784.0
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,2032.8
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1,2050.4
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1,2143.2000000000003
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2,2725.0
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1,1787.5
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2,2476.6000000000004
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,0,2822.3999999999996
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1,1995.5
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,0,1747.6
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,1,2611.0
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,0,1700.9
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,0,2925.0
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2,1894.2
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,0,3624.4
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,0,2528.4
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,1,4145.2
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,0,2269.5
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,0,4395.3
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,0,3022.5
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,1,3296.5000000000005
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,1,4762.8
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1,3706.7000000000003
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,0,4076.8
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2,5374.200000000001
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,0,5827.5
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,5130.2
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,0,5842.0
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,1,5744.7
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2,5820.0
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,1,5937.5
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,6284.8
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,1,3354.0
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,0,6157.9
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,2,7276.5
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,1,6174.0
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0,657.8
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,0,7960.5
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2,6438.599999999999
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,0,5335.2
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,0,4635.400000000001
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,0,6349.200000000001
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,0,6699.2
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,0,6448.0
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,1,4779.0
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,0,8976.0
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,0,8784.2
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,1,6455.8
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,0,3938.7999999999997
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,1,4506.599999999999
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,0,6832.2
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,0,8072.900000000001
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,1,5194.7
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,2,8114.400000000001
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,0,6123.599999999999
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,0,12548.7
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,1,4361.8
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,0,8918.0
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,0,8791.199999999999
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,0,7000.0
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,0,6524.599999999999
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,0,9526.800000000001
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,0,9867.4
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,0,8590.4
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,0,0.0
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,0,75.8
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,2,199.6
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,0,427.5
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,0,448.79999999999995
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,0,521.3000000000001
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,0,714.0
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,1,455.6
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,2,878.0
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,0,795.0
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,1,1220.4
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,1,1185.0
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,0,851.4
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,0,871.5
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,1,1002.7
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,0,1720.0
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,0,1339.8
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,1,2296.8
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,1,1659.1
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,1,1495.0
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,0,1733.1000000000001
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,0,2442.0
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,0,1425.0
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,0,1221.3
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,0,2476.6
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,1,2551.5
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,0,2864.4
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,0,2114.8
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,0,3395.0
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,1,3369.6
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,2,2452.5
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,0,2728.0
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,0,1845.0
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,2,3654.0
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,1,3515.5
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,1,3854.7999999999997
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,0,2793.0
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,0,4432.900000000001
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,0,3375.9
L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,0,3333.0
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,1,2894.3
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,0,4314.200000000001
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,0,4827.6
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,0,4532.0
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,0,5678.400000000001
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,0,4947.599999999999
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,0,3410.3999999999996
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,0,3799.6000000000004
L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,0,7260.0
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,0,5673.0
L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,0,4786.400000000001
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,0,4321.799999999999
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,0,5260.8
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,0,3601.0
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,1,5702.400000000001
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,1,6696.0
L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,0,7314.0
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,1,3990.0
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,2,6535.1
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,0,8184.4
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,2,7410.0
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,0,8649.0
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,0,5667.7
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,0,5596.8
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,1,4540.2
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,2,8282.0
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,1,7165.599999999999
