Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Strain (minNm),Power (W),Temperature Difference (K)
2,300.6,310.4,1510,42.8,124,5307.2,6767.828333873371,9.799999999999956
1,295.5,306.1,1822,24.3,164,3985.2,4636.425270020888,10.600000000000025
0,301.1,310.1,1417,46.9,35,1641.5,6959.392181913765,9.0
0,301.8,310.8,1456,46.6,35,1631.0,7105.193496966868,9.0
1,301.9,311.1,1417,52.5,171,8977.5,7790.36438273929,9.200000000000044
1,297.5,308.8,1455,46.1,147,6776.7,7024.129934528739,11.300000000000011
0,298.0,307.7,1492,38.7,202,7817.400000000001,6046.560548511203,9.699999999999989
0,298.1,308.7,1568,32.9,10,329.0,5402.198951308912,10.599999999999966
0,301.5,310.6,1522,36.6,202,7393.200000000001,5833.434902891672,9.100000000000025
0,301.9,310.9,1309,48.0,124,5952.0,6579.751653678463,9.0
0,297.6,308.5,1452,42.6,116,4941.6,6477.461396877579,10.899999999999975
0,302.4,311.8,1465,40.2,143,5748.6,6167.260538262124,9.400000000000034
0,300.3,311.5,1403,60.1,58,3485.8,8830.001167616248,11.199999999999989
0,297.3,308.7,1549,36.1,218,7869.8,5855.813514560743,11.399999999999975
0,303.1,312.8,2329,15.1,113,1706.3,3682.7738760726834,9.699999999999989
0,300.9,310.3,1321,48.8,150,7320.0,6750.738069837843,9.400000000000034
0,302.1,311.2,1492,45.0,162,7290.0,7030.884358733957,9.099999999999966
0,302.4,311.9,1867,25.9,121,3133.8999999999996,5063.755174737684,9.5
0,296.8,308.0,1584,40.4,227,9170.8,6701.3941212254595,11.199999999999989
0,296.9,307.8,1571,35.0,102,3570.0,5758.015735254492,10.900000000000034
0,298.8,309.7,1751,29.6,160,4736.0,5427.583019949919,10.899999999999975
0,298.4,309.1,1467,42.5,139,5907.5,6529.014932322987,10.700000000000044
1,299.1,308.9,1325,48.4,220,10648.0,6715.677895823781,9.799999999999956
1,299.4,308.7,1487,52.6,205,10783.0,8190.781310390332,9.300000000000011
0,297.9,308.8,1613,31.4,57,1789.8,5303.8671012515515,10.900000000000034
0,300.6,309.7,1639,30.4,121,3678.4,5217.72463069012,9.099999999999966
0,299.7,311.2,1352,52.1,176,9169.6,7376.375774824739,11.5
1,297.3,308.5,1710,27.7,138,3822.6,4960.260640752925,11.199999999999989
0,300.3,311.7,1571,31.2,123,3837.6,5132.859741141147,11.399999999999975
1,297.4,308.5,1600,42.1,190,7999.0,7053.922704860282,11.100000000000025
1,301.5,310.6,1403,47.4,34,1611.6,6964.094098918637,9.100000000000025
1,304.2,313.5,1437,47.2,102,4814.400000000001,7102.763998648093,9.300000000000011
0,301.7,309.9,1524,46.6,104,4846.400000000001,7437.029456990046,8.199999999999989
0,298.7,309.9,1464,38.0,74,2812.0,5825.769416816912,11.199999999999989
0,301.2,310.7,1568,38.3,49,1876.7,6288.882061858095,9.5
0,300.7,311.3,1522,35.2,48,1689.6,5610.298048682701,10.600000000000025
0,301.4,310.5,1647,33.3,85,2830.4999999999995,5743.365441513251,9.100000000000025
0,302.5,311.9,1481,42.9,52,2230.7999999999997,6653.359169552072,9.399999999999975
0,301.0,312.2,1776,28.8,138,3974.4,5356.289810664454,11.199999999999989
2,303.5,312.0,1397,52.9,80,4232.0,7738.926039024514,8.5
0,303.2,311.4,1514,41.2,230,9476.0,6532.083221147995,8.199999999999989
0,301.5,310.9,1451,40.6,0,0.0,6169.1036059522285,9.399999999999975
0,299.5,310.0,1481,43.1,90,3879.0,6684.377161018515,10.5
2,302.1,310.9,1452,42.5,198,8415.0,6462.256088434205,8.799999999999955
0,300.6,309.5,1471,49.6,29,1438.4,7640.520885138569,8.899999999999977
0,301.4,310.4,1639,28.9,94,2716.6,4960.2711127284365,9.0
0,299.1,310.6,1796,26.0,90,2340.0,4889.993685067632,11.5
0,299.0,310.1,1362,59.5,46,2737.0,8486.384235142108,11.100000000000025
0,300.7,312.1,1395,41.9,157,6578.3,6120.922046621674,11.400000000000034
1,302.3,310.8,1762,27.8,127,3530.6,5129.550596879367,8.5
1,298.0,307.6,1581,43.4,113,4904.2,7185.3878854375025,9.600000000000025
2,303.3,311.2,1607,31.7,34,1077.8,5334.623293330196,7.899999999999977
0,298.7,309.9,1372,54.7,44,2406.8,7859.050070122275,11.199999999999989
1,298.3,309.6,1469,54.8,191,10466.8,8430.065950838754,11.300000000000011
0,300.4,310.1,1544,41.9,184,7709.599999999999,6774.697949809221,9.700000000000044
1,298.6,310.0,1512,37.5,27,1012.5,5937.6101152847095,11.399999999999975
0,298.9,309.6,1365,50.9,183,9314.7,7275.771506081281,10.700000000000044
1,296.1,307.1,1433,38.5,14,539.0,5777.4412498291895,11.0
0,302.0,310.5,1635,39.8,99,3940.2,6814.4286249016195,8.5
0,302.2,310.6,1632,30.5,122,3721.0,5212.530530836185,8.400000000000034
0,298.4,309.5,1376,50.4,202,10180.8,7262.356905450452,11.100000000000025
0,300.7,311.2,1399,47.9,80,3832.0,7017.490702054152,10.5
0,303.9,313.1,1639,29.0,95,2755.0,4977.434680592548,9.200000000000044
1,298.0,309.4,1276,65.9,50,3295.0000000000005,8805.716656404,11.399999999999975
0,300.9,310.4,1427,47.0,65,3055.0,7023.4492561204615,9.5
0,302.9,312.3,1515,40.8,183,7466.4,6472.937503456409,9.400000000000034
0,301.3,310.0,1438,40.9,7,286.3,6159.008621558693,8.699999999999989
0,297.0,307.8,1316,61.2,200,12240.0,8434.045301533302,10.800000000000011
0,297.2,307.9,1309,49.6,167,8283.2,6799.076708801078,10.699999999999989
1,299.6,310.1,1357,48.7,96,4675.200000000001,6920.499264862325,10.5
0,298.1,308.7,1683,29.1,161,4685.1,5128.681422911874,10.599999999999966
0,299.8,309.6,1526,41.7,85,3544.5000000000005,6663.757841235454,9.800000000000011
2,300.0,309.5,1781,24.9,70,1743.0,4643.996508316039,9.5
1,303.6,312.3,1630,32.4,223,7225.2,5530.459707379472,8.699999999999989
0,300.6,309.5,1437,40.0,55,2200.0,6019.291524278044,8.899999999999977
0,300.4,309.8,1314,63.1,146,9212.6,8682.6709441384,9.400000000000034
1,300.5,310.0,1406,50.2,119,5973.8,7391.24598005173,9.5
0,299.7,309.2,1422,40.4,140,5656.0,6016.02426791831,9.5
1,301.7,309.9,1434,47.9,189,9053.1,7193.053371512261,8.199999999999989
0,298.3,307.9,1502,42.0,103,4326.0,6606.1410319686165,9.599999999999966
1,300.3,311.8,1483,45.1,181,8163.1,7004.0027975947405,11.5
0,301.8,311.3,1551,35.8,61,2183.7999999999997,5814.648178823204,9.5
2,302.3,311.5,1526,38.2,47,1795.4,6104.449629141352,9.199999999999989
2,300.6,310.6,1419,39.6,3,118.8,5884.45436758597,10.0
0,301.5,310.1,1430,46.5,35,1627.5,6963.340116681777,8.600000000000023
0,300.0,311.5,1666,32.0,128,4096.0,5582.819584939302,11.5
0,299.4,309.0,1800,24.3,128,3110.4,4580.442088933919,9.600000000000025
0,301.9,310.8,1567,39.3,9,353.7,6448.96715150952,8.900000000000034
0,301.2,310.8,1711,28.9,38,1098.2,5178.171979181424,9.600000000000025
0,300.8,310.0,1468,52.7,178,9380.6,8101.497247175312,9.199999999999989
0,298.0,307.6,1385,45.0,158,7110.0,6526.658737832795,9.600000000000025
1,298.9,308.6,1524,40.4,131,5292.4,6447.553434815404,9.700000000000044
0,303.3,311.6,1484,44.6,223,9945.8,6931.02360025185,8.300000000000011
1,298.8,310.2,1527,31.2,102,3182.4,4989.100461312879,11.399999999999975
0,299.7,311.1,1650,32.4,60,1944.0,5598.318108697012,11.400000000000034
0,298.2,307.7,1688,32.4,91,2948.4,5727.249071200336,9.5
0,298.6,309.3,1449,46.5,26,1209.0,7055.860020329997,10.699999999999989
0,296.2,307.2,1515,36.5,38,1387.0,5790.740658729386,11.0
1,297.6,308.6,1390,53.4,175,9345.0,7772.928543511866,11.0
1,297.6,308.6,1444,48.2,46,2217.2000000000003,7288.578732132416,11.0
0,298.4,308.9,1706,29.5,107,3156.5,5270.231115907117,10.5
1,299.9,309.5,1412,57.9,59,3416.1,8561.342635856761,9.600000000000025
